2a13:a5c6:1000::/36,HK,,Hong Kong,,
2a13:a5c6:2000::/36,JP,JP-13,Tokyo,,
2a13:a5c6:3000::/36,SG,SG-01,Singapore,,
2a13:a5c6:4000::/36,TW,TW-TPE,Tai Pei,,
2a13:a5c6:5000::/36,US,US-CA,san jose,,
2a13:a5c6:6100::/40,KR,KR-11,Seoul,,
2a13:a5c6:6300::/40,AR,AR-B,Buenos Aires,,
2a13:a5c6:6400::/40,PK,PK-PB,Lahore,,
2a13:a5c6:6500::/40,GB,GB-LND,London,,
2a13:a5c6:6600::/40,TR,TR-34,Istanbul,,
2a13:a5c6:6700::/40,DE,DE-BW,Goeppingen,,
2a13:a5c6:6800::/40,PH-00,Metro Manila,,,
2a13:a5c6:7100::/40,CA,CA-ON,Toronto,,
2a13:a5c6:7200::/40,IN,IN-DL,,,
2a13:a5c6:7300::/40,BR,BR-SP,São Paulo,,
2a13:a5c6:7400::/40,FR,FR-IDF,Paris,,
2a13:a5c6:7500::/40,AU,AU-VIC,Melbourne,,
2a13:a5c6:7600::/40,GB,GB-LND,London,,
2a13:a5c6:7800::/40,SA,SA-04,Riyadh,,
2a13:a5c6:8100::/40,NG,NG-FC,Abuja,,
